;Deutschland;England;Frankreich;Spanien;Italien;Niederlande;Schweden;Portugal
;Orange;Orange;Orange;Naranja;Arancio;Oranje;Orange;Cor-de-laranja
;Radabdeckung;Wheel cover;Enjoliveur de roue;Tapacubos;Copriruota;Wieldop;Hjulsida;Cobertura da roda
;Radio BMW Professional mit CD-Laufwerk;BMW Professional radio with CD drive;Autoradio BMW Professional à lecteur de CD;Radio BMW Professional con reproductor de CD;Radio BMW Professional con lettore di CD;Radio BMW Professional met CD­speler;Radio BMW Professional med CD-enhet;Rádio BMW Professional com unidade de leitura de CD
;Sandbeige/Schwarz;Sandy beige/black;Beige sable/noir;Beige arena/Negro;Beige sabbia/nero;Zandbeige/zwart;Sandbeige/svart;Bege areia/preto
;Sandbeige;Sandy beige;Beige sable;Beige arena;Beige sabbia;Zandbeige;Sandbeige;Bege areia
;Schaltknauf Chrom;Gear lever knob, 'chrome';Pommeau de levier de vitesses 'chrome';Empuñadura de la palanca de cambio 'cromo';Impugnatura della leva del cambio 'cromata';Schakelknop 'chroom';Växelspaksknopp 'Krom';Punho de mudanças cromado
;Schaltknauf Platane;Gear lever knob, 'plane tree';Pommeau de levier de vitesses 'platane';Empuñadura de la palanca de cambio 'plátano';Impugnatura della leva del cambio 'platano';Schakelknop 'plataan';Växelspaksknopp 'Platan';Punho de mudanças em madeira de plátano
;Schaltknäufe;Gear lever knobs;Pommeaux de levier de vitesses ;Empuñaduras de la palanca de cambio;Impugnature per leve del cambio;Schakelknoppen;Växelspaksknoppar;Punhos de mudanças
;Serienlenkrad;Standard steering wheel;Volant de série;Volante de serie;Volante di serie;Standaard stuurwiel;Serieratt;Volante de série
;Soundsystem;Sound system;Soundsystem;Sistema de sonido;Sistema audio;Soundsystem;Soundsystem;Sistema de som
;Sportlenkrad;Sport steering wheel;Volant sport;Volante deportivo;Volante sportivo;Sportstuurwiel;Sportratt;Volante desportivo
;Sportlenkrad Titan;Sport steering wheel, titanium;Volant sport titane;Volante deportivo de titanio;Volante sportivo in titanio;Sportstuurwiel titanium;Sportratt Titan;Volante desportivo em titânio
;Telefonkonsole;Telephone console;Console téléphone;Consola de teléfono;Mensola per telefono;Telefoonconsole;Telefonkonsol;Consola do telefone
;Telefonkonsole beige;Telephone console, beige;Console téléphone beige;Consola de teléfono beige;Mensola per telefono beige;Telefoonconsole beige;Telefonkonsol, beige;Consola do telefone, bege
;Telefonkonsole englischgrün;Telephone console, English green;Console téléphone vert anglais;Consola de teléfono verde inglés;Mensola per telefono verde inglese;Telefoonconsole engels groen;Telefonkonsol, engelskgrön;Consola do telefone, verde inglês
;Telefonkonsole grau;Telephone console, grey;Console téléphone grise;Consola de teléfono gris;Mensola per telefono grigia;Telefoonconsole grijs;Telefonkonsol, grå;Consola do telefone, cinza
;Telefonkonsole hellbeige;Telephone console, light beige;Console téléphone beige clair;Consola de teléfono beige claro;Mensola per telefono beige chiaro;Telefoonconsole lichtbeige;Telefonkonsol, ljusbeige;Consola do telefone, bege claro
;Telefonkonsole marineblau;Telephone console, navy blue;Console téléphone bleu marine;Consola de teléfono azul marino;Mensola per telefono blu marino;Telefoonconsole marineblauw;Telefonkonsol, marinblå;Consola do telefone, azul marinho
;Telefonkonsole sandbeige;Telephone console, sandy beige;Console téléphone beige sable;Consola de teléfono beige arena;Mensola per telefono beige sabbia;Telefoonconsole zandbeige;Telefonkonsol, sandbeige;Consola do telefone, bege areia
;Telefonkonsole schwarz;Telephone console, black;Console téléphone noire;Consola de teléfono negro;Mensola per telefono nera;Telefoonconsole zwart;Telefonkonsol, svart;Consola do telefone, preto
;TV-Funktion;TV function;Fonction TV;Función de TV;Finzione TV;TV-functie;TV-funktion;Função de TV
;Universelle Freisprecheinrichtungen;Universal hands-free kits;Dispositifs mains libres universels;Dispositivos universales de manos libres;Sistemi viva voce universali;Universeel handsfree-systeem;Universella handsfreeutrustningar;Equipamento de mãos livres universal
;Universelle Freisprecheinrichtung Ericsson;Universal hands-free kit, Ericsson;Dispositif mains libres universel Ericsson;Dispositivo manos libres universal Ericsson;Sistema viva voce universali Ericsson;Universeel handsfree-systeem Ericsson;Universell handsfreeutrustning Ericsson;Equipamento de mãos livres universal Ericsson
;Universelle Freisprecheinrichtung Motorola;Universal hands-free kit, Motorola;Dispositif mains libres universel Motorola;Dispositivo manos libres universal Motorola;Sistema viva voce universali Motorola;Universeel handsfree-systeem Motorola;Universell handsfreeutrustning Motorola;Equipamento de mãos livres universal Motorola
;Universelle Freisprecheinrichtung Nokia;Universal hands-free kit, Nokia;Dispositif mains libres universel Nokia;Dispositivo manos libres universal Nokia;Sistema viva voce universale Nokia;Universeel handsfree-systeem Nokia;Universell handsfreeutrustning Nokia;Equipamento de mãos livres universal Nokia
;Universelle Freisprecheinrichtung Siemens;Universal hands-free kit, Siemens;Dispositif mains libres universel Siemens;Dispositivo manos libres universal Siemens;Sistema viva voce universale Siemens;Universeel handsfree-systeem Siemens;Universell handsfreeutrustning Siemens;Equipamento de mãos livres universal Siemens
;Universelle Freisprecheinrichtung;Universal hands-free kit;Dispositif mains libres universel;Dispositivo manos libres universal;Sistema viva voce universale;Universeel handsfree-systeem;Universell handsfreeutrustning;Equipamento de mãos livres universal
;Wählhebel;Selector lever;Leviers sélecteurs;Palancas de cambio automático;Leva selettrice;Keuzehendel;Växelväljare;Alavanca de mudanças da caixa automática
;Wählhebel 'Chrom';Selector lever, 'chrome';Levier sélecteur 'chrome';Palanca de cambio automático 'cromo';Leva selettrice 'cromata';Keuzehendel 'chroom';Växelväljare 'Krom';"Alavanca de mudanças da caixa automática ""Chrom"""
;Wählhebel 'Platane';Selector lever, 'plane tree';Levier sélecteur 'platane';Palanca de cambio automático 'plátano';Leva selettrice 'platano';Keuzehendel 'plataan';Växelväljare 'Platan';"Alavanca de mudanças da caixa automática ""Plátano"""
;Wählhebelgriff in Chrom matt;Selector lever grip, matt chrome;Poignée de levier sélecteur chrome mat;Palanca de cambio automático cromo mate;Maniglia per leva selettrice cromata opaca;Knop voor keuzehendel mat chroom;Växelväljarhandtag, matt förkromat;Alavanca de mudanças da caixa automática em cromado mate
;Zentrale Armauflage vorne, klappbar;Central armrest, front, folding;Accoudoir central avant, rabattable;Reposabrazos central delantero, abatible;Bracciolo centrale anteriore, ribaltabile;Centrale armleuning voor, opklapbaar;Centralt armstöd fram, fällbart;Apoio dianteiro central para os braços, rebatível
;BMW Subwoofer;Subwoofer;Subwoofer;Subwoofer;Subwoofer;Subwoofer;Subwoofer;Subwoofer BMW
;Gepäckkorb;Luggage rack;Galerie à bagages;Cesta portaequipajes;Cestello portabagagli;Bagagemand;Lastkorg;Cesto porta-bagagens
;M-Türeinstiegsleisten;M door sill trim strips;Profilés de seuil M;Moldura M protectora de entrada para puerta;Listelli soglia M;M portierdorpellijsten;M Dörrinstigslister;Frisos do estribo da porta M
;Interieurleisten schwarz;Interior trims, black;Inserts d'habitacle noir;Revestimientos interiores negro;Modanature interne nero;Interieurpanelen schwarz;Interiörlister svart;Frisos interiores decorativos, preto
;Interieurleisten beige;Interior trims, beige;Inserts d'habitacle  beige;Revestimientos interiores  beige;Modanature interne  beige;Interieurpanelen  beige;Interiörlister  beige;Frisos interiores decorativos, bege
;Interieurleisten mattlackiert, schwarz;Interior trim, matt finish, black;Inserts d'habitacle peints en noir mat;Revestimientos interiores negro mate;Modanature interne verniciate in nero opaco;Dashboard/Portierpanelen mat zwart;Interiörlister, mattlackerade i svart;Frisos interiores decorativos, preto mate
;Interieurleisten mattlackiert, graphit;Interior trim, matt finish, graphite;Inserts d'habitacle peints en graphite mat;Revestimientos interiores gris grafito;Modanature interne verniciate in grafite opaco;Dashboard/Portierpanelen mat grafiet;Interiörlister, mattlackerade i grafit;Frisos interiores decorativos, grafite mate
;Interieurleisten seidenmatt graphit;Interior trim, silk matt, graphite;Inserts d'habitacle peints en graphite mat satiné;Revestimientos interiores sedosa grafito;Modanature interne verniciate in grafite seta opaco;Dashboard/Portierpanelen silkemat grafiet;Interiörlister, sidenmatt grafit;Frisos interiores decorativos, grafite mate sedoso
;Interieurleisten Muschelahorn;Interior trims, shell maple;Inserts d'habitacle loupe d'érable;Revestimientos interiores arce;Modanature interne acero musivo;Interieurpanelen ahorn;Interiörlister lönn;Frisos interiores decorativos, ácer do Oregão
;Interieurleisten Sieblack dunkelgrau;Interior trim, Sieblack, dark grey;Inserts d'habitacle gris foncé Sieblack;Revestimientos interiores en Sieblack gris oscuro;Modanature interne «Sieblack» grigio scuro;Dashboard/Portierpanelen Sieblack donkergrijs;Interiörlister, sieblack mörkgrå;Frisos interiores decorativos, tinta serigráfica cinza escuro
;Interieurleisten Gittergalvanik;Interior trim, grid-galvanized;Inserts d'habitacle coloris 'galvanique grille';Revestimientos interiores de cuadrícula galvanizada;Modanature interne con galvanizzazione reticolare;Dashboard/Portierpanelen Galvano;Interiörlister i mönster 'Gittergalvanik';Frisos interiores decorativos, visual de grelha galvanizada
;Schaltknauf Gittergalvanik;Gear lever knob, grid galvanized;Pommeau de levier de vitesses 'galvanique grille';Empuñadura de la palanca de cambio 'cuadrícula galvanizada';Impugnatura della leva del cambio  con galvanizzazione reticolare;Schakelknop Galvano;Växelspaksknopp 'Gittergalvanik';Punho de mudanças, visual de grelha galvanizada
;Interieurleisten Alu matt;Interior trims, matt aluminium;Inserts d'habitacle aluminium mat;Revestimientos interiores aluminio mate;Modanature interne alluminio opaca;Interieurpanelen mat aluminium;Interiörlister matt alumimium;Frisos interiores decorativos, alumínio mate
;Interieurleisten cosmosschwarz;Interior trims, cosmos black;Inserts d'habitacle noir cosmos;Revestimientos interiores negro cosmos;Modanature interne nero cosmico;Interieurpanelen cosmosschwarz;Interiörlister cosmossvart;Frisos interiores decorativos, preto cosmos
;Interieurleisten sandbeige;Interior trims, sandy beige;Inserts d'habitacle beige sable;Revestimientos interiores beige arena;Modanature interne beige sabbia;Interieurpanelen zandbeige;Interiörlister sandbeige;Frisos interiores decorativos, bege areia
;Interieurleisten arktisgrau;Interior trim, Arctic grey;Inserts d'habitacle gris arctique;Revestimientos interiores gris ártico;Modanature interne grigio artico;Dashboard/Portierpanelen arktisgrijs;Interiörlister, arktisgrå;Frisos interiores decorativos, cinzento Árctico
;Schaltknauf schwarz;Gear lever knob, black;Pommeau de levier de vitesses noir;Empuñadura de la palanca de cambio negro;Impugnatura della leva del cambio nero;Schakelknop schwarz;Växelspaksknopp svart;Punho de mudanças, preto
;Schaltknauf beige;Gear lever knob, beige;Pommeau de levier de vitesses beige;Empuñadura de la palanca de cambio beige;Impugnatura della leva del cambio beige;Schakelknop beige;Växelspaksknopp beige;Punho de mudanças, bege
;Schaltknauf grau;Gear lever knob, grey;Pommeau de levier de vitesses gris;Empuñadura de la palanca de cambio gris;Impugnatura della leva del cambio grigio;Schakelknop grau;Växelspaksknopp grå;Punho de mudanças, cinzento
;Schaltknauf Chrom schwarz;Gear lever knob, 'chrome' black;Pommeau de levier de vitesses 'chrome' noir;Empuñadura de la palanca de cambio 'cromo' negro;Impugnatura della leva del cambio 'cromata' nero;Schakelknop 'chroom' schwarz;Växelspaksknopp 'Krom' svart;"Punho de mudanças ""Chrom"", preto"
;Schaltknauf Platane schwarz;Gear lever knob, 'plane tree' black;Pommeau de levier de vitesses 'platane' noir;Empuñadura de la palanca de cambio 'plátano' negro;Impugnatura della leva del cambio 'platano' nero;Schakelknop 'plataan' schwarz;Växelspaksknopp 'Platan' svart;"Punho de mudanças ""Plátano"", preto"
;Schaltknauf Chrom grau;Gear lever knob, 'chrome' beige;Pommeau de levier de vitesses 'chrome' beige;Empuñadura de la palanca de cambio 'cromo' beige;Impugnatura della leva del cambio 'cromata' beige;Schakelknop 'chroom' beige;Växelspaksknopp 'Krom' beige;"Punho de mudanças ""Chrom"", cinzento"
;Schaltknauf Platane grau;Gear lever knob, 'plane tree' beige;Pommeau de levier de vitesses 'platane' beige;Empuñadura de la palanca de cambio 'plátano' beige;Impugnatura della leva del cambio 'platano' beige;Schakelknop 'plataan' beige;Växelspaksknopp 'Platan' beige;"Punho de mudanças ""Plátano"", cinzento"
;Schaltknauf Chrom beige;Gear lever knob, 'chrome' grey;Pommeau de levier de vitesses 'chrome' gris;Empuñadura de la palanca de cambio 'cromo' gris;Impugnatura della leva del cambio 'cromata' grigio;Schakelknop 'chroom' grau;Växelspaksknopp 'Krom' grå;"Punho de mudanças ""Chrom"", bege"
;Schaltknauf Platane beige;Gear lever knob, 'plane tree' grey;Pommeau de levier de vitesses 'platane' gris;Empuñadura de la palanca de cambio 'plátano' negro;Impugnatura della leva del cambio 'platano' nero;Schakelknop 'plataan' grau;Växelspaksknopp 'Platan' grå;"Punho de mudanças ""Plátano"", bege"
;Wählhebel Chrom schwarz;Selector lever, 'chrome' black;Levier sélecteur 'chrome' noir;Palanca de cambio automático 'cromo' negro;Leva selettrice 'cromata' nero;Keuzehendel 'chroom' schwarz;Växelväljare 'Krom' svart;"Alavanca de mudanças da caixa automática ""Chrom"", preto"
;Wählhebel Platane schwarz;Selector lever, 'plane tree' black;Levier sélecteur 'platane' noir;Palanca de cambio automático 'plátano' negro;Leva selettrice 'platano' nero;Keuzehendel 'plataan' schwarz;Växelväljare 'Platan' svart;"Alavanca de mudanças da caixa automática ""Chrom"", preto"
;Wählhebel Chrom grau;Selector lever, 'chrome' beige;Levier sélecteur 'chrome' beige;Palanca de cambio automático 'cromo' beige;Leva selettrice 'cromata' beige;Keuzehendel 'chroom' beige;Växelväljare 'Krom' beige;"Alavanca de mudanças da caixa automática ""Chrom"", cinzento"
;Wählhebel Platane grau;Selector lever, 'plane tree' beige;Levier sélecteur 'platane' beige;Palanca de cambio automático 'plátano' beige;Leva selettrice 'platano' beige;Keuzehendel 'plataan' beige;Växelväljare 'Platan' beige;"Alavanca de mudanças da caixa automática ""Plátano"", cinzento"
;Wählhebel Chrom beige;Selector lever, 'chrome' grey;Levier sélecteur 'chrome' gris;Palanca de cambio automático 'cromo' gris;Leva selettrice 'cromata' grigio;Keuzehendel 'chroom' grau;Växelväljare 'Krom' grå;"Alavanca de mudanças da caixa automática ""Chrom"", bege"
;Wählhebel Platane beige;Selector lever, 'plane tree' grey;Levier sélecteur 'platane' gris;Palanca de cambio automático 'plátano' gris;Leva selettrice 'platano' grigio;Keuzehendel 'plataan' grau;Växelväljare 'Platan' grå;"Alavanca de mudanças da caixa automática ""Plátano"", bege"
;Innentasche für Hartschalenkoffer;Inner bag for hard-sided case;Sacoche intérieure pour valise rigide;Bolsa interior para maleta de cubierta rígida;Tasca interna per motovaligia a guscio rigido;Binnentas van de koffer;Innerväska till hård ytterväska;Bolsa interior para mala de cobertura rígida
;Windschutz;Wind deflector;Déflecteur;Deflector de viento;Deflettore;Bescherming tegen de wind;Vindskydd;Pára-vento
;Windschutz mit Schiene;Wind deflector with rail;Pare-vent avec glissière;Deflector de viento con guías;Vetro del cupolino con guida;Windscherm met frames;Vindskydd med skena;Pára-vento com calha
;Verdeckabdeckungen;Convertible top covers;Caches de capote;Cubiertas de la capota;Copricapote;Kapafdekkingen;Sufflettskydd;Cobertura da capota
;BMW Styling II, Styling 31;BMW Styling II, styling 31;Style 31 BMW II;Estilo BMW II, estilo 31;BMW Styling II, styling 31;BMW styling II, styling 31;BMW Styling II, Styling 31;BMW Styling II, styling 31
;Radial-Styling 32;Radial styling 32;Style 32 à rayon radial;Estilo 'radial' 32;Styling radiale 32;Radiaal-styling 32;Radial, Styling 32;Radial, styling 32
;Z star, Styling 35;Z star, styling 35;Style 35 Z Star;Z star, estilo 35;Z star, Styling 35;Z-Star, styling 35;Z star, Styling 35;Z star, styling 35
;Rundspeichen-Styling 18;Round spoke styling 18;Style 18 à branches arrondies;Estilo de radios redondeados 18;Styling a raggi circolari 18;Ronde spaken-styling 18;Rundeker-Styling 18;Raios redondos, styling 18
;Doppelspeichen-Styling 30;Double spoke styling 30;Style 30 à double rayon;Radios dobles estilo 30;Styling a doppi raggi 30;Dubbele spaken-styling 30;Dubbeleker-Styling 30;Raios duplos, styling 30
;Speichen-Styling 33;Spoke styling 33;Style 33 à rayons;Estilo de radios 33;Styling a raggi 33;Spaken-styling 33;Eker-Styling 33;Styling dos raios 33
;Kreuzspeichen-Verbundrad Styling 5;Cross spoke composite wheel, styling 5;Style 5 à rayons croisés composite, boulonnée;Radios en cruz, llanta compuesta, estilo 5;Cerchio componibile a raggi incrociati, styling 5;Kruisspaken-compoundvelg styling 5;Krysseker-Split Styling 5;Jante composta com raios em cruz, styling 5
;Streamline 41;Streamline 41;Style 41 Streamline;Streamline 41;Streamline 41;Stream Line 41;Streamline 41;Streamline 41
;M V-Speiche 72;M V spoke 72;Style 72 M à rayons en V;M radios V 72;M raggi a V 72;M V-spaken 72;M V-eker 72;Raio V 72 M
;Kreuzspeichen-Verbundrad II, Styling 42;Cross spoke composite wheel II, styling 42;Style 42 à rayons croisés boulonnée, composite II;Radios en cruz, llanta compuesta II, estilo 42;Cerchio componibile a raggi incrociati II, styling 42;Kruisspaken-compoundvelg II, styling 42;Krysseker-Split ll, Styling 42;Jante composta com raios cruzados II, styling 42
;3-Speichen-Styling, Styling 38;3 spoke styling, styling 38;Style 38 à trois branches;Estilo de 3 radios, estilo 38;Styling a 3 razze, styling 38;3-spaken-styling, styling 38;3-Eker, Styling 38;Styling de 3 raios, styling 38
;Turbinenstyling 106;Turbine styling 106;Style turbine 106;Estilo turbina 106;Styling turbina 106;Turbine-styling 106;Turbin 106;Styling de turbina 106
;M Kreuzspeichen-Verbundrad 101;M cross spoke composite wheel 101;Style 101 M à rayons croisés boulonnée, composite;M radios en cruz, llanta compuesta 101;Cerchio componibile M a raggi incrociati II, styling 101;M kruisspaken-compoundvelg 101;M Krysseker-Split ll, Styling 42;Jante composta M com raios em cruz 101
;Radialspeiche Brilliantline 32;Radial spoke 32;Style 32 à rayon radial;Radios 'radial' Brillantline 32;Raggi radiali 32;Radiaalspaken 32;Radialeker 32;Raios radiais Brilliantline 32
;Styling 90 mit Kunststoffsichtblende;Styling 90;Style 90;Estilo 90 con embellecedor de plástico;Raggi 90;Styling 90 met kunststof scherm;Styling 90;Styling 90 com guarnição em plástico transparente
;Radialspeichen-Verbundrad 86;Radial spoke composite wheel 86;Style 86 à rayons radial, composite;Radios 'radial', llanta compuesta 86;Cerchio componibile a raggi radiali 86;Radiaalspaken-compoundvelg 86;Radial-Split 86;Jante composta com raios radiais 86
;Xenonscheinwerfer;Xenon headlights;Projecteurs au xénon;Faros de xenón;Proiettori allo xeno;Xenon koplamp;Xenonstrålkastare;Faróis de xénon
;Bi-Xenon-Licht;Bi-xenon headlights;Lampes bi-xénon;Faros bi-xenón;Fari bi-xeno;Bi-Xenon licht;Bi-xenonstrålkastare;Faróis bi-xénon
;Zusatz-Xenon-Fernlicht;Additional xenon headlights;Phares additionnels au xénon;Faros suplementarios de larga distancia de xenón;Fari abbaglianti ausiliari allo xeno;Extra Xenon koplamp;Tillägg xenonhelljus;Faróis de longo alcance suplementares de xénon
;Park Distance Control;Park Distance Control;Park Distance Control;Sensor de estacionamiento (PDC);Park Distance Control;Park Distance Control;Park Distance Control ;Sistema Park Distance Control (PDC)
;Car Cover Outdoor;Car Cover Outdoor;Car Cover Outdoor;Cubierta para vehículo para exterior;Telo copriauto Outdoor;Car Cover Outdoor;Car Cover Outdoor ;Cobertura Car Cover Outdoor
;Car Cover Outdoor Frontscheibe;Outdoor windscreen car cover;Car Cover Outdoor pour pare-brise;Cubierta para vehículo para exterior, parabrisas;Telo copriauto Outdoor parabrezza;Car Cover Outdoor voorruit;Car Cover Outdoor vindruta ;Cobertura para pára-brisas Car Cover Outdoor
;Car Cover Indoor;Car Cover Indoor;Car Cover Indoor;Cubierta para vehículo para interior;Telo copriauto Indoor;Car Cover Indoor;Car Cover Indoor;Cobertura Car Cover Indoor
;Serien-Schaltknauf;Standard gear lever knob;Pommeau de levier de vitesses de série;Empuñadura para palanca de cambios de serie;Pomello leva cambio di serie;Standaard schakelknop;Växelspaksknopp, standard;Punho de mudanças de série
;Leder-Schaltknauf mit Ruthenium-Spange;Leather-covered gear lever knob with ruthenium strip;Pommeau de levier de vitesses cuir avec bague en ruthénium;Empuñadura de cuero con franja de rutenio para la palanca de cambios;Pomello leva cambio in pelle con inserto rutenio;Lederen schakelknop met Ruthenium strip;Växelspaksknopp, läder med ruteniumspänne;Punho de mudanças em pele com friso em ruténio
;Leder-Schaltknauf mit Holzspange, Pappel Maser;Leather-covered gear lever knob with variegated poplar strip;Pommeau de levier de vitesses cuir avec bague en bois, madrure peuplier;Empuñadura de cuero con franja de madera (vetas de álamo) para la palanca de cambios;Pomello leva cambio in pelle con inserto legno, radica di pioppo  ;Lederen schakelknop met houten strip, Pappel Maser;Växelspaksknopp med träspänne, poppelmasur;Punho de mudanças em pele com friso em madeira, choupo
;Leder-Wählhebelgriff mit Ruthenium-Spange;Leather-covered selector lever grip with ruthenium strip;Poignée de sélecteur de vitesses cuir avec bague en ruthénium;Empuñadura de cuero con franja de rutenio para la palanca de cambios automática;Leva selettrice del cambio in pelle con inserto rutenio;Lederen keuzehendelgreep Ruthenium strip;Växelväljargrepp med ruteniumspänne;Punho de caixa automática em pele com friso em ruténio
;Leder-Wählhebelgriff mit Holzspange, Pappel Maser;Leather-covered selector lever grip with variegated poplar strip;Poignée de sélecteur de vitesses cuir avec bague en bois, madrure peuplier;Empuñadura de cuero con franja de madera (vetas de álamo) para la palanca de cambios automática;Leva selettrice del cambio in pelle con inserto legno, radica di pioppo ;Lederen keuzehendelgreep met houten strip, Pappel Maser;Växelväljargrepp, läder med träspänne, poppelmasur;Punho da caixa automática em pele com friso de madeira, choupo
;BMW Traffic Pro;BMW Traffic Pro;BMW Traffic Pro;BMW Traffic Pro;BMW Traffic Pro;BMW Traffic Pro;BMW Traffic Pro;Equipamento BMW Traffic Pro
;Innenaustattung Pappel Maser;Variegated poplar interior trim;Equipements intérieurs madrure de peuplier;Equipamiento interior, vetas de álamo;Allestimento interno in radica di pioppo ;Interieurbekleding Pappel Maser;Inredning poppelmasur;Equipamento interior em choupo
;Interieurleisten Pappel Maser braun;Poplar grain brown interior trim;Garnitures intérieures madrure de peuplier brun;Revestimientos interiores, vetas de álamo marrón;Listelli interni radica di pioppo marrone;Interieurstrippen Pappel Maser bruin;Interiörlister, poppelmasur brun;Frisos interiores decorativos em choupo castanho
;Interieurleisten Pappel Maser hell;Poplar grain light interior trim;Garnitures intérieures madrure de peuplier clair;Revestimientos interiores, vetas de álamo claro;Listelli interni radica di pioppo chiaro;Interieurstrippen Pappel Maser licht;Interiörlister, poppelmasur ljus;Frisos interiores decorativos em choupo claro
;Interieurleisten Pappel Maser dunkel;Poplar grain dark interior trim;Garnitures intérieures madrure de peuplier foncé;Revestimientos interiores, vetas de álamo oscuro;Listelli interni radica di pioppo scuro;Interieurstrippen Pappel Maser donker;Interiörlister, poppelmasur mörk;Frisos interiores decorativos em choupo escuro
;Anthrazit;Anthracite;Anthracite ;Antracita;Antracite;Antraciet;Antracit;Antracite
;Interieurleisten Riegelahorn Anthrazit;Interior trim strips, anthracite maple;Garnitures intérieures érable anthracite ;Revestimientos interiores, entramado de arce antracita;Listelli interni acero antracite;Interieurstrippen Esdoorn antraciet;Interiörlister, lönn antracit;Frisos interiores decorativos em ácer antracite
;Interieurleisten Aluminium Wellenschliff;Interior trim strips, cylindrically ground aluminium;Garnitures intérieures aluminium rectifié;Revestimientos interiores, aluminio con afilado ondulado;Listelli interno alluminio levigatura a onde;Interieurstrippen rondgeslepen aluminium;Interiörlister, aluminium vågslipad;Frisos interiores decorativos em alumínio com polimento ondulado
;Interieurleisten Titan II dunkel;Titanium II dark interior trim;Garnitures intérieures titane II foncé;Revestimientos interiores, titanio II oscuro;Listelli interni titanio II scuro;Interieurstrippen Titan II donker;Interiörlister, titan II mörk;Frisos interiores decorativos em titânio II escuro
;Interieurleisten Carbon;Carbon interior trim;Garnitures intérieures carbone;Revestimientos interiores, carbono;Listelli interni carbonio;Interieurstrippen Carbon;Interiörlister, karbon;Frisos interiores decorativos em carbono
;Interieurleisten Pappel Natur;Poplar natural interior trim;Garnitures intérieures peuplier naturel;Revestimientos interiores, álamo natural;Listelli interni pioppo naturale;Interieurstrippen Pappel Natur;Interiörlister, poppel natur;Frisos interiores decorativos em choupo natural
;Interieurleisten Mahagoni Maritim;Maritime mahogany interior trim;Garnitures intérieures acajou maritime;Revestimientos interiores, caoba marítimo;Listelli interni mogano marino;Interieurstrippen Mahagoni Maritim;Interiörlister, mahogny maritim;Frisos interiores decorativos em mogno marítimo
;Handbremsgriff Pappel Maser;Variegated poplar handbrake grip;Poignée de frein à main en madrure de peuplier;Empuñadura del freno de mano, vetas de álamo;Impugnatura freno a mano radica di pioppo ;Handremgreep Pappel Maser;Handbromsgrepp, poppelmasur;Punho do travão de mão em choupo
;Autotelefon Professional;Professional car phone;Téléphone de voiture Professional;Teléfono para coche Professional;Telefono veicolare Professional;Autotelefoon Professional;Biltelefon Professional;Telefone de automóvel Professional
;Universelle Freisprecheinrichtung mit Bluetooth-Schnittstelle;Universal hands-free kit with Bluetooth interface;Dispositif mains libres universel à interface Bluetooth;Dispositivo manos libres universal con interfaz Bluetooth;Viva voce universale con interfaccia Bluetooth;Universele handsfree-installatie met Bluetooth aansluiting;Universal handsfree med Bluetooth-gränssnitt;Equipamento de mãos livres universal com interface Bluetooth
;Universal Freisprecheinrichtung mit Bluetooth-Schnittstelle;Universal hands-free kit with Bluetooth interface;Dispositif mains libres universel à interface Bluetooth;Dispositivo manos libres universal con interfaz Bluetooth;Viva voce universale con interfaccia Bluetooth;Universele handsfree-installatie met Bluetooth aansluiting;Universal handsfree med Bluetooth-gränssnitt;Equipamento de mãos livres universal com interface Bluetooth;;
;Urbangreen;Urban green;Urbangreen;Urbangreen;Urbangreen;Urbangreen;Urbangreen;Urban Green;;
;Amethystgrau;Amethyst grey;Amethystgrau;Amethystgrau;Amethystgrau;Amethystgrau;Amethystgrau;Amethystgrau;;
;Olivin;Olivine green;Olivin;Olivin;Olivin;Olivin;Olivin;Olivin;;
;Highlandgrün;Highland green;Highlandgrün;Highlandgrün;Highlandgrün;Highlandgrün;Highlandgrün;Highlandgrün;;
;Mineralsilber;Mineral silver;Mineralsilber;Mineralsilber;Mineralsilber;Mineralsilber;Mineralsilber;Mineralsilber;;Styling de turbina 106
;Atlanticblau;Atlantic blue;Atlanticblau;Atlanticblau;Atlanticblau;Atlanticblau;Atlanticblau;Atlanticblau;;
;Amethyst;Amethyst;Améthyste;Amatista;ametista;Amethyst;Ametist;Ametista;;
;Trüffelbraun;Truffle brown;Brun truffe;Marrón trufa;marrone pralina;Truffelbruin;Tryffelbrun;Castanho trufa;;
;Kastanienbraun;Chestnut brown;Brun châtaigne;Marrón castaño;marrone castagna;Kastanjebruin;Kastanjebrun;Castanho;;
;Rundspeichen-Styling 18 Chrom;Round spoke styling 18, chrome;Style branches arrondies 18 chrome;Estilo de 18 radios redondeados, cromo;Styling a raggi arrotondati 18 cromato;Ronde spaken-styling 18 chroom;Rundstjärna 18 krom;"Raios redondos, styling 18 ""Chrom""";;
;Trapezstyling;Trapezoidal styling;Style trapèze;Estilo trapecio;Styling trapezoidale;Trapezium-styling;Trapez;Styling trapézio;;
;Anhängerkupplung mit abnehmbarem Kugelkopf;Towing hitch with removable ball head;Dispositif d'attelage à rotule amovible;Enganche para remolque con cabezal de bola extraíble;Gancio di traino con sfera smontabile;Aanhangerkoppeling met verwijderbare kogelkop;Dragkrok med avtagbart kulhuvud;Dispositivo de engate de reboque com cabeça esférica removível;;
